@ HyperIMU - ianovir - 2013
@ Date: Sat Aug 02 17:32:42 CEST 2014
@Sensors: MPLAccelerometer - MPLLinearAcceleration
@ SamplingTime: 100ms
0.0,0.0,0.0,0.0,0.0,0.0
